"","name","latitude","longitude","start.station.id"
"202","Riverside Dr & W 72 St",40.78057799,-73.98562431,3166
"203","W 70 St & Amsterdam Ave",40.77748046,-73.98288594,3175
"204","Wythe Ave & Metropolitan Ave",40.716887,-73.963198,2002
"205","E 53 St & 3 Ave",40.75763228,-73.96930575,3459
"206","E 53 St & Madison Ave",40.7597108,-73.97402311,456
"207","Rivington St & Chrystie St",40.72110063,-73.9919254,473
"208","Stanton St & Norfolk St",40.720747,-73.986274,3737
"209","Washington Pl & Broadway",40.72903917,-73.99404649,335
"210","E 47 St & 2 Ave",40.75323098,-73.97032517,164
"211","Central Park North & Adam Clayton Powell Blvd",40.799484,-73.955613,3374
"212","Hudson St & Reade St",40.71625008,-74.0091059,146
"213","E 72 St & York Ave",40.76663814,-73.95348296,3156
"214","W 64 St & Thelonious Monk Circle",40.77515953,-73.98918696,3697
"215","Rivington St & Ridge St",40.71850211,-73.98329859,349
"216","Amsterdam Ave & W 79 St",40.7829391,-73.9786517,3360
"217","Division St & Bowery",40.71413089,-73.9970468,296
"218","Columbus Ave & W 95 St",40.7919557,-73.968087,3301
"219","E 43 St & 5 Ave",40.75412081,-73.98025185,3680
"220","E 84 St & 3 Ave",40.77755374,-73.9551276,3747
"221","E 6 St & Avenue D",40.72228087,-73.97668709,411
"222","Amsterdam Ave & W 82 St",40.78524672,-73.97667321,3171
"223","W 95 St & Broadway",40.7937704,-73.971888,3314
"224","W 56 St & 10 Ave",40.768254,-73.988639,513
"225","9 Ave & W 18 St",40.74317449,-74.00366443,434
"226","Avenue C & E 18 St",40.730563,-73.973984,3733
"227","Cliff St & Fulton St (Old)",40.70831794,-74.00504082,3701
"228","W 35 St & Dyer Ave",40.75469175,-73.99740189,3712
"229","Washington Pl & 6 Ave",40.73224119,-74.00026394,369
"230","Franklin St & W Broadway",40.71911552,-74.00666661,79
"231","E 5 St & Avenue C",40.72299208,-73.97995466,393
"232","Bus Slip & State St",40.701907,-74.013942,427
"233","E 74 St & 1 Ave",40.7689738,-73.95482273,3372
"234","Queens Plaza North & Crescent St",40.75110165,-73.94073717,3129
"235","Front St & Maiden Ln",40.70530954,-74.00612572,351
"236","Central Park West & W 76 St",40.77896784,-73.97374737,3160
"237","Pike St & E Broadway",40.71406667,-73.99293911,295
"238","Lenox Ave & W 111 St",40.7987859,-73.9523,3521
"239","W 84 St & Columbus Ave",40.78499979,-73.97283406,3170
"240","E 51 St & Lexington Ave",40.75714758,-73.97207836,522
"241","Lexington Ave & E 36 St",40.74757396,-73.97880077,3749
"242","W 82 St & Central Park West",40.78275,-73.97137,3226
"243","2 Ave & E 96 St",40.7839636,-73.9471673,3318
"244","Driggs Ave & N 9 St",40.71816969,-73.95520136,3715
"245","5 Ave & E 78 St",40.77632142,-73.96427393,3143
"246","Old Slip & Front St",40.7037992,-74.00838676,337
"247","E 48 St & 3 Ave",40.7546011,-73.97187886,228
"248","Leonard St & Church St",40.717571,-74.005549,320
"249","2 Ave & E 72 St",40.76876203,-73.95840794,3725
"250","South St & Whitehall St",40.70122128,-74.01234218,259
"251","Fulton St & William St",40.70955958,-74.00653609,316
"252","Park Ave & E 124 St",40.8045555,-73.9396861,3507
"253","W 50 St & 9 Ave",40.76360468,-73.98917958,3699
"254","E 51 St & 1 Ave",40.75455731,-73.96592976,454
"255","W 76 St & Columbus Ave",40.78018397,-73.97728533,3161
"256","Vernon Blvd & 50 Ave",40.74232744,-73.95411749,3119
"257","S 3 St & Bedford Ave",40.71260486,-73.96264403,481
"258","E 84 St & 1 Ave",40.77565541,-73.95068615,3148
"259","W 84 St & Broadway",40.7867947,-73.977112,3177
"260","W 89 St & Columbus Ave",40.7882213,-73.97041561,3283
"261","Pearl St & Hanover Square",40.7047177,-74.00926027,415
"262","Cherry St",40.71219906,-73.97948148,332
"263","Avenue D & E 3 St",40.72082834,-73.97793172,302
"264","Bedford Ave & Nassau Ave",40.72311651,-73.95212324,3107
"265","W 100 St & Broadway",40.7973721,-73.97041192,3350
"266","Reade St & Broadway",40.71450451,-74.00562789,330
"267","Meserole Ave & Manhattan Ave",40.72708584,-73.95299117,3110
"268","Maiden Ln & Pearl St",40.70706456,-74.00731853,264
"269","E 58 St &  1 Ave (NW Corner)",40.759125,-73.962658,3734
"270","Lexington Ave & E 63 St",40.76440023,-73.96648977,3155
"271","W 18 St & 9 Ave",40.74353373,-74.00367558,3658
"272","Berry St & N 8 St",40.7190095,-73.95852515,3092
"273","Madison Ave & E 82 St",40.7781314,-73.96069399,3362
"274","Nassau Ave & Russell St",40.72557,-73.94434,3108
"275","Pike St & Monroe St",40.71173107,-73.99193043,331
"276","Graham Ave & Conselyea St",40.715143,-73.944507,3086
