"","start_id","start_name","start_latitude","start_longitude","end_id","end_name","end_latitude","end_longitude","n"
"101",308,"St James Pl & Oliver St",40.71307916,-73.99851193,229,"Great Jones St",40.72743423,-73.99379025,11
"102",359,"E 47 St & Park Ave",40.75510267,-73.97498696,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,11
"103",536,"1 Ave & E 30 St",40.74144387,-73.97536082,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,11
"104",361,"Allen St & Hester St",40.71605866,-73.99190759,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,11
"105",3686,"Gansevoort St & Hudson St",40.7394482,-74.00507033,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,11
"106",501,"FDR Drive & E 35 St",40.744219,-73.97121214,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,11
"107",383,"Greenwich Ave & Charles St",40.735238,-74.000271,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,11
"108",301,"E 2 St & Avenue B",40.72217444,-73.98368779,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,11
"109",3435,"Grand St & Elizabeth St",40.718822,-73.99596,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,11
"110",340,"Madison St & Clinton St",40.71269042,-73.98776323,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,11
"111",325,"E 19 St & 3 Ave",40.73624527,-73.98473765,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,11
"112",497,"E 17 St & Broadway",40.73704984,-73.99009296,238,"Bank St & Washington St",40.7361967,-74.00859207,11
"113",490,"8 Ave & W 33 St",40.751551,-73.993934,238,"Bank St & Washington St",40.7361967,-74.00859207,11
"114",3259,"9 Ave & W 28 St",40.74937024,-73.99923384,238,"Bank St & Washington St",40.7361967,-74.00859207,11
"115",293,"Lafayette St & E 8 St",40.73020661,-73.99102628,238,"Bank St & Washington St",40.7361967,-74.00859207,11
"116",3166,"Riverside Dr & W 72 St",40.78057799,-73.98562431,238,"Bank St & Washington St",40.7361967,-74.00859207,11
"117",3641,"Broadway & W 25 St",40.74286877,-73.98918629,238,"Bank St & Washington St",40.7361967,-74.00859207,11
"118",2008,"Little West St & 1 Pl",40.70569254,-74.01677685,247,"Perry St & Bleecker St",40.73535398,-74.00483091,11
"119",3427,"Lafayette St & Jersey St",40.72430527,-73.99600983,247,"Perry St & Bleecker St",40.73535398,-74.00483091,11
"120",379,"W 31 St & 7 Ave",40.749156,-73.9916,247,"Perry St & Bleecker St",40.73535398,-74.00483091,11
"121",346,"Bank St & Hudson St",40.73652889,-74.00618026,247,"Perry St & Bleecker St",40.73535398,-74.00483091,11
"122",3664,"North Moore St & Greenwich St",40.72019521,-74.01030064,248,"Laight St & Hudson St",40.72185379,-74.00771779,11
"123",303,"Mercer St & Spring St",40.72362738,-73.99949601,249,"Harrison St & Hudson St",40.71870987,-74.0090009,11
"124",251,"Mott St & Prince St",40.72317958,-73.99480012,249,"Harrison St & Hudson St",40.71870987,-74.0090009,11
"125",276,"Duane St & Greenwich St",40.71748752,-74.0104554,249,"Harrison St & Hudson St",40.71870987,-74.0090009,11
"126",319,"Fulton St & Broadway",40.711066,-74.009447,249,"Harrison St & Hudson St",40.71870987,-74.0090009,11
"127",519,"Pershing Square North",40.751873,-73.977706,249,"Harrison St & Hudson St",40.71870987,-74.0090009,11
"128",507,"E 25 St & 2 Ave",40.73912601,-73.97973776,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"129",461,"E 20 St & 2 Ave",40.73587678,-73.98205027,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"130",3718,"E 11 St & Avenue B",40.72746421,-73.97950418,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"131",150,"E 2 St & Avenue C",40.7208736,-73.98085795,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"132",315,"South St & Gouverneur Ln",40.70355377,-74.00670227,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"133",492,"W 33 St & 7 Ave",40.75019995,-73.99093085,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"134",3641,"Broadway & W 25 St",40.74286877,-73.98918629,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"135",268,"Howard St & Centre St",40.71910537,-73.99973337,251,"Mott St & Prince St",40.72317958,-73.99480012,11
"136",3746,"6 Ave & Broome St",40.72430832,-74.00473036,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"137",507,"E 25 St & 2 Ave",40.73912601,-73.97973776,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"138",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"139",490,"8 Ave & W 33 St",40.751551,-73.993934,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"140",466,"W 25 St & 6 Ave",40.74395411,-73.99144871,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"141",334,"W 20 St & 7 Ave",40.74238787,-73.99726235,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"142",3427,"Lafayette St & Jersey St",40.72430527,-73.99600983,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"143",519,"Pershing Square North",40.751873,-73.977706,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"144",540,"Lexington Ave & E 29 St",40.74311555,-73.98215353,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"145",3259,"9 Ave & W 28 St",40.74937024,-73.99923384,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,11
"146",2008,"Little West St & 1 Pl",40.70569254,-74.01677685,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,11
"147",3718,"E 11 St & Avenue B",40.72746421,-73.97950418,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,11
"148",504,"1 Ave & E 16 St",40.73221853,-73.98165557,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,11
"149",377,"6 Ave & Canal St",40.72243797,-74.00566443,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,11
"150",376,"John St & William St",40.70862144,-74.00722156,257,"Lispenard St & Broadway",40.71939226,-74.00247214,11
"151",293,"Lafayette St & E 8 St",40.73020661,-73.99102628,257,"Lispenard St & Broadway",40.71939226,-74.00247214,11
"152",347,"Greenwich St & W Houston St",40.728846,-74.008591,259,"South St & Whitehall St",40.70122128,-74.01234218,11
"153",319,"Fulton St & Broadway",40.711066,-74.009447,259,"South St & Whitehall St",40.70122128,-74.01234218,11
"154",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,259,"South St & Whitehall St",40.70122128,-74.01234218,11
"155",531,"Forsyth St & Broome St",40.71893904,-73.99266288,259,"South St & Whitehall St",40.70122128,-74.01234218,11
